,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
5455,S10 Advantage 2.4 C.D.,09/10,Preta,Flex,Não disponível,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-advantage-2-4-c-d/09-10/1053685,RV Veículos,"Av. Marcelino Pires, 4264 - Jardim Caramuru - Dourados / MS"
5456,S10 DLX 2.8TD C.D.,04/04,Prata,Diesel,Não disponível,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-dlx-2-8td-c-d/04-04/1084804,Sua Oferta Veículos,"Rua Alegrete, 1203 - Coronel Antonino - Campo Grande / MS"
5457,Sandero Expression 1.0 12v,18/19,Prata,Flex,43.000 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/renault/sandero-expression-1-0-12v/18-19/1081714,Alfa Motors,"Av. Marcelino Pires, 4650 - Centro - Dourados / MS"
5458,Saveiro Cross 1.6 C.E.,12/13,Branca,Flex,100.000 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-cross-1-6-c-e/12-13/1080644,Odi Car Veículos,"Av. Coronel Antonino, 352 - Coronel Antonino - Campo Grande / MS"
5459,Strada Adventure 1.8 16v C.D.,12/13,Prata,Flex,120.000 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/fiat/strada-adventure-1-8-16v-c-d/12-13/1090210,Odi Car Veículos,"Av. Coronel Antonino, 352 - Coronel Antonino - Campo Grande / MS"
5460,Strada Trekking 1.6 16v C.D.,12/13,Prata,Flex,88.000 Km,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/fiat/strada-trekking-1-6-16v-c-d/12-13/1051261,Sua Oferta Veículos,"Rua Alegrete, 1203 - Coronel Antonino - Campo Grande / MS"
5461,Voyage Evidence 1.6,14/15,Preta,Flex,Não disponível,"R$ 43.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-evidence-1-6/14-15/1062992,Alternativa Veículos,"Av. Bandeirantes, 1663 - Taquarussu - Campo Grande / MS"
5462,Civic LXL 1.8 16v,11/11,Preta,Flex,87.470 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/honda/civic-lxl-1-8-16v/11-11/1089589,Padrão Veículos,"Rua João Teodoro Braga,1275 - Centro - Nova Andradina / MS"
5463,Corolla XLi 1.8 16v A/T,09/10,Prata,Flex,Não disponível,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/toyota/corolla-xli-1-8-16v/09-10/1087924,CR Veículos,"Av. Gaspar Ries Coelho, 1289 - Flávio Garcia - Coxim / MS"
5464,Duster Dynamique 1.6 16v,13/14,Branca,Flex,106.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/renault/duster-dynamique-1-6-16v/13-14/1082317,Jaime,Campo Grande - MS
5465,EcoSport Freestyle 1.6 16v,13/14,Preta,Flex,175.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/ford/ecosport-freestyle-1-6-16v/13-14/882117,Bergson Salomao,Campo Grande - MS
5466,Fiesta Hatch Titanium 1.6 16v PowerShift A/T,14/15,Branca,Flex,82.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-titanium-1-6-16v-powershift/14-15/1063413,Ueno Veículos,"Av. Weimar G. Torres, 3500 - Centro - Dourados / MS"
5467,Gol Trendline 1.0 12v 4p.,17/18,Branca,Flex,29.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trendline-1-0-12v-4p/17-18/1081645,Jaime,Campo Grande - MS
5468,Ka SE 1.0 12v,19/19,Branca,Flex,61.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/19-19/1055599,Estacionamento Três Lagoas,"Av. Capitão Olinto Mancini, 1342 - Centro - Três Lagoas / MS"
5469,Ka Trail 1.0 12v,17/18,Preta,Flex,68.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/ford/ka-trail-1-0-12v/17-18/1083745,Fábio Despachante & Veículos,"Av. Salgado Filho, 1176 - Amambaí - Campo Grande / MS"
5470,Kwid Intense 1.0 12v,19/19,Branca,Flex,Não disponível,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/renault/kwid-intense-1-0-12v/19-19/1076540,Star Motors,"Av. Nosso Senhor do Bomfim, 2471 - Parque Novos Estados  - Campo Grande / MS"
5471,Onix Joy 1.0,18/19,Preta,Flex,35.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/18-19/1056073,Estacionamento Três Lagoas,"Av. Capitão Olinto Mancini, 1342 - Centro - Três Lagoas / MS"
5472,Onix LT 1.4,16/16,Preta,Flex,68.422 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-4/16-16/1082056,Turin Veículos MS,"Rua Barão de Uba, 860 - Tiradentes - Campo Grande / MS"
5473,Onix LT 1.4,15/15,Branca,Flex,53.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-4/15-15/1089325,Ustulin Multimarcas," Av. Pres. Ernesto Geisel, 5633 - Cabreúva - Campo Grande / MS"
5474,Saveiro Trendline 1.6 C.E.,15/15,Branca,Flex,142.874 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-trendline-1-6-c-e/15-15/1084368,Absoluta Automóveis,"Av. Rosario Congro, 2299 - Jardim Angélica - Três Lagoas / MS"
5475,Strada Adventure 1.8 16v C.D. Dualogic A/T,14/14,Branca,Flex,255.000 Km,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/fiat/strada-adventure-1-8-16v-c-d-dualogic/14-14/881851,Walvonvitis Baes Rodrigues,Campo Grande - MS
5476,Strada Working 1.4 C.S.,15/16,Branca,Flex,Não disponível,"R$ 44.000,00",https://www.shopcar.com.br/veiculos/fiat/strada-working-1-4-c-s/15-16/1079369,Auto + Veículos,"Av. Hayel Bon Faker, 1300 - Jardim Água Boa - Dourados / MS"
5477,Sandero StepWay 1.6 16v,15/15,Branca,Gasolina,Não disponível,"R$ 44.400,00",https://www.shopcar.com.br/veiculos/renault/sandero-stepway-1-6-16v/15-15/1080714,Fashion Car,"Rua Antônio de Souza Marcondes, 2879 - BNH - Maracaju / MS"
5478,Ka SE 1.0 12v,19/20,Branca,Flex,30.000 Km,"R$ 44.490,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/19-20/1065677,Planalto Veículos,"Av. Tamandaré, 456 - Vila Planalto - Campo Grande / MS"
5479,Argo Drive 1.0,18/18,Cinza,Flex,71.000 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/fiat/argo-drive-1-0/18-18/1089899,Josemar Roth,Campo Grande - MS
5480,Cobalt LTZ 1.8,13/14,Prata,Flex,118.000 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-ltz-1-8/13-14/1073395,Sorócar Veículos,"Av. Bandeirantes, 2669 - Amambaí - Campo Grande / MS"
5481,Corolla SE-G 1.8 16v A/T,09/10,Preta,Flex,222.222 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/toyota/corolla-se-g-1-8-16v/09-10/1085208,Daniel Mayer Fernandes,Campo Grande - MS
5482,CR-V LX 2.0 16v A/T,10/10,Prata,Gasolina,136.941 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/honda/cr-v-lx-2-0-16v/10-10/1082754,Gran Car Veículos,"Av. Hayel Bon Faker, 2400 - Centro - Dourados / MS"
5483,EcoSport Freestyle 1.6 16v,13/13,Preta,Flex,Não disponível,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/ford/ecosport-freestyle-1-6-16v/13-13/1065737,RV Veículos,"Av. Campo Grande, 560 - Centro - Naviraí / MS"
5484,Focus Hatch S 1.6 16v Powershift A/T,13/14,Preta,Flex,55.000 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/ford/focus-hatch-s-1-6-16v-powershift/13-14/1067262,JC Automóveis,"Av. Getulio Vargas, 174 - Centro - São Gabriel do Oeste / MS"
5485,Gol 1.6 4p.,18/18,Cinza,Flex,Não disponível,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-6-4p/18-18/1086822,Giga Veículos,"Av. Weimar Gonçalves Torres, 2989 - Centro - Dourados / MS"
5486,HB20 Comfort 1.6 16v,16/17,Preta,Flex,78.000 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/hyundai/hb20-comfort-1-6-16v/16-17/1083606,Pactual Motors,"Rua Antônio Correa, 561  - Vila Gloria - Campo Grande / MS"
5487,Ka SE 1.0 12v,19/19,Cinza,Flex,58.500 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/19-19/1083739,RA Brasil Veículos,"Av. Calógeras, 583  - Vila Carvalho - Campo Grande / MS"
5488,Ka SE 1.0 12v,18/19,Cinza,Flex,46.514 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/ford/ka-se-1-0-12v/18-19/1069057,Via Sul Veículos,"Av. Marcelino Pires, 5685 - Jardim Tropical - Dourados / MS"
5489,Onix Joy 1.0,19/19,Cinza,Flex,41.000 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/19-19/1075693,Agape Auto Car,"Av. Dr. Nasri Siufi, 2047 - Tijuca 2 - Campo Grande / MS"
5490,Onix LT 1.0,17/18,Cinza,Flex,Não disponível,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/17-18/1084762,Jolemar Veículos,"Av. Bandeirantes, 2822 - Nova Bandeirantes - Campo Grande / MS"
5491,Onix LTZ 1.4,15/15,Branca,Flex,66.200 Km,"R$ 44.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-ltz-1-4/15-15/1073348,Ueno Veículos,"Av. Weimar G. Torres, 3500 - Centro - Dourados / MS"
