Id_Anuncio_ShopCar,Unnamed: 0,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca
1089734,4533,Ka SE 1.5 16v,15/15,Prata,Flex,55213.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-se-1-5-16v/15-15/1089734,Nova Car Seminovos,"Rua Hayel Bon Faker, 710 - Jardim Água Boa - Dourados / MS",2015,2015, MS,"Rua Hayel Bon Faker, 710 ", Jardim Água Boa , Dourados ,ford
1067044,4534,Ka Sedan SE 1.5 16v,15/15,Prata,Flex,92000.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-sedan-se-1-5-16v/15-15/1067044,Finauto Veículos,"Rua Antonio de Souza Marcondes, 2800 - Centro - Maracaju / MS",2015,2015, MS,"Rua Antonio de Souza Marcondes, 2800 ", Centro , Maracaju ,ford
1085192,4535,Ka SEL 1.0 12v,15/15,Branca,Flex,78483.0,37900.0,https://www.shopcar.com.br/veiculos/ford/ka-sel-1-0-12v/15-15/1085192,Davi Automóveis,"Av. Bandeirantes, 338 - Amambai - Campo Grande / MS",2015,2015, MS,"Av. Bandeirantes, 338 ", Amambai , Campo Grande ,ford
1090019,4536,Kwid Zen 1.0 12v,18/19,Branca,Flex,90010.0,37900.0,https://www.shopcar.com.br/veiculos/renault/kwid-zen-1-0-12v/18-19/1090019,All Win Veículos,"Rua Rui Barbosa, 2220 - Centro - Campo Grande / MS",2018,2019, MS,"Rua Rui Barbosa, 2220 ", Centro , Campo Grande ,renault
/979054,4537,Logan Dynamique 1.6 EasyR A/T,14/15,Marrom,Flex,99000.0,37900.0,https://www.shopcar.com.br/veiculos/renault/logan-dynamique-1-6-easyr/14-15/979054,Confia Motors,"Rua João Silva, 350 - Centro - Três Lagoas / MS",2014,2015, MS,"Rua João Silva, 350 ", Centro , Três Lagoas ,renault
1072509,4538,Logan Expression 1.6,15/16,Cinza,Flex,,37900.0,https://www.shopcar.com.br/veiculos/renault/logan-expression-1-6/15-16/1072509,Mega Automóveis,"Av. Bandeirantes, 1177 - Amambaí - Campo Grande / MS",2015,2016, MS,"Av. Bandeirantes, 1177 ", Amambaí , Campo Grande ,renault
1085072,4539,Mobi Like 1.0,18/19,Cinza,Flex,101091.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/mobi-like-1-0/18-19/1085072,V4 Veículos Matriz,"Av. Fabio Zahran, 7279 - Jd. America  - Campo Grande / MS",2018,2019, MS,"Av. Fabio Zahran, 7279 ", Jd. America  , Campo Grande ,fiat
1088158,4540,Mobi Like 1.0,18/19,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/fiat/mobi-like-1-0/18-19/1088158,Grid Automóveis,"Av. das Bandeiras, 500 - Vila Carvalho - Campo Grande / MS",2018,2019, MS,"Av. das Bandeiras, 500 ", Vila Carvalho , Campo Grande ,fiat
1088370,4541,Mobi Like 1.0,17/18,Branca,Flex,72000.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/mobi-like-1-0/17-18/1088370,Majestik Motors,"Rua. Guia Lopes, 348 - Amambaí - Campo Grande / MS",2017,2018, MS,"Rua. Guia Lopes, 348 ", Amambaí , Campo Grande ,fiat
1083455,4542,Onix Joy 1.0,16/17,Branca,Flex,85000.0,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-joy-1-0/16-17/1083455,Solocar Veículos,"Rua Padre João Cripa, 284 - Monte Líbano - Campo Grande / MS",2016,2017, MS,"Rua Padre João Cripa, 284 ", Monte Líbano , Campo Grande ,gm-chevrolet
1081617,4543,Onix LS 1.0,16/16,Prata,Flex,112748.0,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-ls-1-0/16-16/1081617,Pagani Motors,"Rua Santana, 342 - Jardim TV Morena - Campo Grande / MS",2016,2016, MS,"Rua Santana, 342 ", Jardim TV Morena , Campo Grande ,gm-chevrolet
1051651,4544,Onix LT 1.0,14/15,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/14-15/1051651,Vincar Automóveis,"Av. Bandeirantes, 2295 - Nova Bandeirantes - Campo Grande / MS",2014,2015, MS,"Av. Bandeirantes, 2295 ", Nova Bandeirantes , Campo Grande ,gm-chevrolet
1085374,4545,Onix LT 1.0,13/14,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-0/13-14/1085374,Via Premium Motors,"Weimar Gonçalves Torres, 5155 - Jardim Guanabara - Dourados / MS",2013,2014, MS,"Weimar Gonçalves Torres, 5155 ", Jardim Guanabara , Dourados ,gm-chevrolet
1035718,4546,Onix LT 1.4,13/13,Branca,Flex,,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/onix-lt-1-4/13-13/1035718,Jetta Veículos,"Av. Bandeirantes, 3107 - Amambaí - Campo Grande / MS",2013,2013, MS,"Av. Bandeirantes, 3107 ", Amambaí , Campo Grande ,gm-chevrolet
1086196,4547,Palio Essence 1.6 16v 4p.,14/15,Branca,Flex,,37900.0,https://www.shopcar.com.br/veiculos/fiat/palio-essence-1-6-16v-4p/14-15/1086196,Canaã Automóveis,"Av. Brasil, 3957 - Centro - Ponta Porã / MS",2014,2015, MS,"Av. Brasil, 3957 ", Centro , Ponta Porã ,fiat
1058290,4548,Palio Sporting 1.6 16v 4p.,14/15,Branca,Flex,89000.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/palio-sporting-1-6-16v-4p/14-15/1058290,Grancar Veículos,"Av. Bandeirantes, 2313 - Guanandi - Campo Grande / MS",2014,2015, MS,"Av. Bandeirantes, 2313 ", Guanandi , Campo Grande ,fiat
/991098,4549,Palio Weekend Adventure 1.8 16v,11/12,Prata,Flex,124000.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/palio-weekend-adventure-1-8-16v/11-12/991098,Mercosul Multimarcas,"Rua. Amazonas, 2914 - Zona II - Umuarama / PR",2011,2012, PR,"Rua. Amazonas, 2914 ", Zona II , Umuarama ,fiat
1080145,4550,Palio Weekend Adventure 1.8 16v Dualogic A/T,12/13,Branca,Flex,102000.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/palio-weekend-adventure-1-8-16v-dualogic/12-13/1080145,Finauto Veículos,"Rua Antonio de Souza Marcondes, 2800 - Centro - Maracaju / MS",2012,2013, MS,"Rua Antonio de Souza Marcondes, 2800 ", Centro , Maracaju ,fiat
1089794,4551,Prisma LT 1.0,13/13,Preta,Flex,,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-lt-1-0/13-13/1089794,Grancar Veículos,"Av. Bandeirantes, 2313 - Guanandi - Campo Grande / MS",2013,2013, MS,"Av. Bandeirantes, 2313 ", Guanandi , Campo Grande ,gm-chevrolet
1078913,4552,Prisma LT 1.0,13/13,Prata,Flex,99000.0,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-lt-1-0/13-13/1078913,Vincar Automóveis,"Av. Bandeirantes, 2295 - Nova Bandeirantes - Campo Grande / MS",2013,2013, MS,"Av. Bandeirantes, 2295 ", Nova Bandeirantes , Campo Grande ,gm-chevrolet
1083581,4553,Prisma LTZ 1.4,13/13,Preta,Flex,130000.0,37900.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-ltz-1-4/13-13/1083581,BR Veículos,"Av. Salgado Filho, 1845 - Vila Carvalho - Campo Grande / MS",2013,2013, MS,"Av. Salgado Filho, 1845 ", Vila Carvalho , Campo Grande ,gm-chevrolet
