,best_match_score,vendedor,anuncio_id_olx,autos_has_gnv_kit,bairro,cidade,dealership_review,extra_key,gnv_kit,link_anuncio_olx,KM,owner_manual,Preco,Ano_Fabricacao,regiao,uf,Marca,Modelo,warranty,nome_marca,id_marca,nome_modelo,id_modelo
77,0.7343390909230297,Clodoaldo,1108523524,,Vila Bandeirante,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegat-2016-manual-1108523524,100000,Sim,73000.0,2016,"Mato Grosso do Sul, MS",MS,JEEP,JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V MEC.,Não,Jeep,29,Renegade Sport 1.8 4x2 Flex 16V Mec.,7189
78,1.3782144734523931,Christopher I.,1108523915,,Vila Cidade Morena,Campo Grande,,,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-stilo-2003-completo-1108523915,1,Sim,14500.0,2003,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STILO 1.8 MS LIM.EDIT./ MS SEASON 16V,,Fiat,21,Stilo 1.8 MS Lim.Edit./ MS Season 16V,597
79,0.9219480707434582,Localiza Seminovos Campo Grande (VCCGR),1108531953,,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/c-180-2020-2020-1-6-cgi-flex-avantgarde-9g-tronic-1108531953,37864,,212600.0,2020,"Mato Grosso do Sul, MS",MS,MERCEDES-BENZ,MERCEDES-BENZ C-180 CGI AVANT. 1.6/1.6 FLEXTB 16V AUT.,,Mercedes-Benz,39,C-180 CGI Avant. 1.6/1.6 FlexTB 16V Aut.,6928
80,0.7125431913727416,Expedito marcos ,1108532592,,Jardim Sumatra,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-xara-picasso-ano-2004-1108532592,0,Sim,6000.0,2004,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN XSARA BREAK EXCLUSIVE 2.0 16V,Não,Citroën,13,Xsara Break Exclusive 2.0 16V,326
81,0.6716297823316847,ELETRICA,1108533414,,Parque do Sol,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-1108533414,0,Não,,1999,"Mato Grosso do Sul, MS",MS,FIAT,FIAT MAREA ELX 2.0 20V 4P,Não,Fiat,21,Marea ELX 2.0 20V 4p,484
83,0.9412856136990698,victormpds1977,1108533922,,Santo Antônio,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xl-cd-flex-ano-2014-2015-1108533922,165000,Sim,85000.0,2014,"Mato Grosso do Sul, MS",MS,FORD,FORD RANGER XLS 2.5 16V 4X2 CD FLEX,Não,Ford,22,Ranger XLS 2.5 16V 4x2 CD Flex,6165
84,0.89831712913997,Gabrielle,1108538083,,Vila Alba,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-citr-en-xsara-picasso-exs-1108538083,187000,Não,10000.0,2005,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN XSARA PICASSO EXCLUS. 1.6/ 1.6 FLEX 16V,Não,Citroën,13,Xsara Picasso Exclus. 1.6/ 1.6 Flex 16V,3930
85,0.80096579340648,Diego,1108557783,,Panamá,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toro-20-21-26-mil-km-1-8-1108557783,26391,Não,94500.0,2021,"Mato Grosso do Sul, MS",MS,FIAT,FIAT TORO ENDURANCE 1.8 16V FLEX MEC.,Não,Fiat,21,Toro Endurance 1.8 16V Flex Mec.,8741
86,0.7045267896148162,Fernando O.,1108558604,,Centro,Dourados,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/creta-1-6-pulse-1108558604,52000,Sim,89990.0,2017,"Mato Grosso do Sul, MS",MS,HYUNDAI,HYUNDAI CRETA PULSE 1.6 16V FLEX AUT.,Não,Hyundai,26,Creta Pulse 1.6 16V Flex Aut.,7831
88,1.1053312886566427,Allan Souza,1108561892,,Coophavila II,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/celta-1108561892,130000,Não,31500.0,2013,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 5P,Não,GM - Chevrolet,23,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,996
