Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1137961,Camaro SS 6.2 V8 A/T,Branca,Gasolina,54000.0,,https://www.shopcar.com.br/veiculos/gm-chevrolet/camaro-ss-6-2-v8/14-14/1137961,Majestik Motors,"Av. Bandeirantes, 1501 - Amamba� - Campo Grande / MS",2014,2014, MS,"Av. Bandeirantes, 1501 ", Amamba� , Campo Grande ,gm-chevrolet,01/01/2022
1138100,2500 Laramie 6.7TDi 24v 4X4 C.D. A/T,Preta,Diesel,74000.0,328000.0,https://www.shopcar.com.br/veiculos/ram/2500-laramie-6-7tdi-24v-4x4-c-d/17-18/1138100,V8 Ve�culos,"Av. Fernando Correa da Costa, 2075 - Centro - Campo Grande / MS",2017,2018, MS,"Av. Fernando Correa da Costa, 2075 ", Centro , Campo Grande ,ram,01/01/2022
1139085,2500 Laramie 6.7TDi 24v 4X4 C.D.,Prata,Diesel,115830.0,329900.0,https://www.shopcar.com.br/veiculos/ram/2500-laramie-6-7tdi-24v-4x4-c-d/18-18/1139085,Yanko Select,"Av. Afonso Pena, 5786 - Ch�cara Cachoeira - Campo Grande / MS",2018,2018, MS,"Av. Afonso Pena, 5786 ", Ch�cara Cachoeira , Campo Grande ,ram,01/01/2022
1133273,2500 Laramie 6.7TDi 24v 4X4 C.D. A/T,Cinza,Diesel,139300.0,329900.0,https://www.shopcar.com.br/veiculos/ram/2500-laramie-6-7tdi-24v-4x4-c-d/16-17/1133273,Mercosul Multimarcas,"Rua. Amazonas, 2914 - Zona II - Umuarama / PR",2016,2017, PR,"Rua. Amazonas, 2914 ", Zona II , Umuarama ,ram,01/01/2022
1135537,320i M Sport 2.0T 16v A/T,Cinza,Flex,4100.0,329900.0,https://www.shopcar.com.br/veiculos/bmw/320i-m-sport-2-0t-16v/21-22/1135537,Yanko Select,"Av. Afonso Pena, 5786 - Ch�cara Cachoeira - Campo Grande / MS",2021,1922, MS,"Av. Afonso Pena, 5786 ", Ch�cara Cachoeira , Campo Grande ,bmw,01/01/2022
1119482,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Preta,Diesel,26000.0,329900.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/20-21/1119482,Avenida Ve�culos,"Av. Marcelino Pires, 4478 - Vila Industrial - Dourados / MS",2020,2021, MS,"Av. Marcelino Pires, 4478 ", Vila Industrial , Dourados ,toyota,01/01/2022
1120334,E-Pace R-Dynamic S 2.0T 16v P250 A/T,Branca,Flex,8500.0,330000.0,https://www.shopcar.com.br/veiculos/jaguar/e-pace-r-dynamic-s-2-0t-16v-p250/20-20/1120334,Tecar Mercedes Benz,"Av. Afonso Pena, 5634 - Ch�cara Cachoeira - Campo Grande / MS",2020,2020, MS,"Av. Afonso Pena, 5634 ", Ch�cara Cachoeira , Campo Grande ,jaguar,01/01/2022
1127548,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Preta,Diesel,21700.0,330000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-21/1127548,Bruno Cesar,Ponta Por� - MS,2021,2021,,Ponta Por� , MS,,toyota,01/01/2022
1131264,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Prata,Diesel,,330000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-21/1131264,Andr� de Paula Silva,Campo Grande - MS,2021,2021,,Campo Grande , MS,,toyota,01/01/2022
1140742,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Vermelha,Diesel,11000.0,330000.0,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/21-21/1140742,Braz Ve�culos,"Av. Bandeirantes, 1252 - Amamba� - Campo Grande / MS",2021,2021, MS,"Av. Bandeirantes, 1252 ", Amamba� , Campo Grande ,toyota,01/01/2022
